,CCNumber,CrimeCode,Description,Inside_Outside,Weapon,Location,Old_District,Neighborhood,Day sin,Day cos,Year sin,Year cos,Latitude,Longitude
2024-11-01 00:00:00,7980295.5,54.0,6.5,2.0,22.0,11913.086,4.311014,119.624,-0.08225289,0.98516953,-0.8092754,0.588044,39.313633,-76.61419
2024-11-01 01:00:00,7980295.5,53.25,6.436201,2.0,22.0,11817.052,4.25,121.02218,0.071815446,0.8987758,-0.80855596,0.58831745,39.312344,-76.613914
2024-11-01 02:00:00,7980295.5,53.280342,6.431498,2.0,22.0,12045.491,4.3333335,120.83753,0.33264503,0.7506281,-0.807922,0.5886261,39.31401,-76.61455
2024-11-01 03:00:00,7980295.5,53.860447,6.737698,2.0,22.0,12138.7295,4.25,122.540504,0.52852607,0.5486846,-0.8072803,0.58894753,39.314083,-76.61499
2024-11-01 04:00:00,7980295.5,54.47863,6.3333335,2.0,22.0,12057.445,4.2028084,121.55901,0.6275861,0.24883296,-0.8066017,0.5892848,39.31236,-76.61597
2024-11-01 05:00:00,7980295.5,54.333332,6.0,2.0,22.0,11972.293,4.25,119.65988,0.60693353,-0.14138672,-0.806157,0.58960617,39.31357,-76.61271
2024-11-01 06:00:00,7980295.5,54.838306,6.3999476,2.0,22.0,11751.552,4.142857,116.1764,0.4650882,-0.44132414,-0.8057689,0.5901958,39.31406,-76.61612
2024-11-01 07:00:00,7980295.5,55.34141,6.3333335,2.0,22.0,12041.227,4.33317,120.78277,0.23563674,-0.70648557,-0.8054356,0.590827,39.31316,-76.615395
2024-11-01 08:00:00,7980295.5,55.4244,6.4361873,2.0,22.0,11927.208,4.1759534,118.34157,0.0011482172,-0.88078606,-0.8050825,0.59149075,39.313454,-76.614716
2024-11-01 09:00:00,7980295.5,54.703205,7.0,2.0,22.0,11921.397,4.2523274,123.02884,-0.17292659,-0.9809169,-0.80475104,0.59206426,39.314426,-76.615425
2024-11-01 10:00:00,7980295.5,55.58124,6.820386,2.0,22.0,12047.26,4.218336,122.81292,-0.44134375,-0.9946481,-0.8044905,0.59243184,39.31347,-76.61734
2024-11-01 11:00:00,7980295.5,55.333332,7.0,2.0,22.0,11791.914,4.285714,122.42748,-0.7488607,-0.99403,-0.80422443,0.5928081,39.314026,-76.61647
2024-11-01 12:00:00,7980295.5,55.77454,7.200233,2.0,22.0,11681.566,4.096057,116.76317,-0.9463947,-0.947214,-0.8039721,0.5931429,39.313763,-76.61583
2024-11-01 13:00:00,7980295.5,55.5,7.0,2.0,22.0,11951.394,4.2,121.249954,-5.893234,-0.82144904,-0.80368847,0.59352416,39.314507,-76.615456
2024-11-01 14:00:00,7980295.5,54.542107,7.3322663,2.0,22.0,12079.214,4.085027,121.99867,-5.893234,-0.6208643,-0.8033898,0.5939418,39.313587,-76.61487
2024-11-01 15:00:00,7980295.5,54.56376,7.0,2.0,22.0,11703.849,4.247575,121.01573,-5.893234,-0.29987523,-0.80300766,0.59431237,39.313553,-76.615524
2024-11-01 16:00:00,7980295.5,54.821007,7.164146,2.0,22.0,11942.993,4.1957474,119.91967,-5.893234,0.017336758,-0.80264413,0.5946973,39.312527,-76.61493
2024-11-01 17:00:00,7980295.5,54.361835,7.3934617,2.0,22.0,11641.424,4.302758,122.962746,-5.893234,0.38118535,-0.80224824,0.5950621,39.313457,-76.61583
2024-11-01 18:00:00,7980295.5,53.851555,7.2525177,2.0,22.0,11945.337,4.3333335,118.079445,-5.893234,0.6282366,-0.8018992,0.5954062,39.312725,-76.61682
2024-11-01 19:00:00,7980295.5,53.611546,7.0,2.0,22.0,11899.093,4.3333335,123.54797,-5.893234,0.79352677,-0.80155206,0.59577256,39.311413,-76.61681
2024-11-01 20:00:00,7980295.5,52.797436,7.5025625,2.0,22.0,11999.567,4.285714,121.144005,-0.9952354,0.92239493,-0.8013198,0.59609544,39.313053,-76.6153
2024-11-01 21:00:00,7980295.5,53.666668,7.001088,2.0,22.0,11863.5205,4.25,120.62515,-0.8576276,0.9886919,-0.8010921,0.596347,39.313293,-76.61302
2024-11-01 22:00:00,7980295.5,53.0,6.835555,2.0,22.0,12026.2295,4.319297,120.391365,-0.6065643,0.9998317,-0.8008695,0.5966123,39.31445,-76.61319
2024-11-01 23:00:00,7980295.5,51.260395,7.0,2.0,22.0,12091.291,4.2905035,121.9979,-0.31866765,0.995542,-0.80064374,0.596834,39.313274,-76.61301
2024-11-02 00:00:00,7980295.5,53.0,6.612977,2.0,22.0,11835.726,4.3333335,121.50231,-0.06138342,0.97492397,-0.8004189,0.5971566,39.31259,-76.61411
2024-11-02 01:00:00,7980295.5,52.43392,6.3333335,2.0,22.0,11696.285,4.3602586,121.12653,0.105043925,0.8746894,-0.80013275,0.59748626,39.31289,-76.612335
2024-11-02 02:00:00,7980295.5,54.0,6.3333335,2.0,22.0,11963.118,4.1717567,122.754585,0.34739187,0.72957915,-0.7998598,0.59785765,39.313828,-76.612946
2024-11-02 03:00:00,7980295.5,54.00089,6.3333335,2.0,22.0,12246.761,4.332848,120.007095,0.5712976,0.50596195,-0.7995723,0.5982273,39.3144,-76.61279
2024-11-02 04:00:00,7980295.5,54.21331,6.4415374,2.0,22.0,12228.543,4.3146853,117.00457,0.65797794,0.15190473,-0.7993011,0.5987982,39.313797,-76.61342
2024-11-02 05:00:00,7980295.5,53.333332,6.969061,2.0,22.0,11660.226,4.207922,122.17654,0.65047055,-0.18959683,-0.79893464,0.5993626,39.315273,-76.615005
2024-11-02 06:00:00,7980295.5,54.333332,7.0,2.0,22.0,11709.473,4.285714,124.26817,0.5003826,-0.50182515,-0.7985917,0.5998506,39.314125,-76.61444
2024-11-02 07:00:00,7980295.5,55.207108,6.596013,2.0,22.0,11618.51,4.305504,123.56326,0.26067945,-0.758545,-0.7982494,0.60037625,39.313267,-76.616455
2024-11-02 08:00:00,7980295.5,54.606987,7.0,2.0,22.0,11796.419,4.0,125.983826,0.0033588784,-0.9224274,-0.797896,0.6007905,39.31459,-76.61559
2024-11-02 09:00:00,7980295.5,55.17823,7.0,2.0,22.0,11877.8955,4.2786927,124.14777,-0.1574453,-0.9921531,-0.7975482,0.60119313,39.314102,-76.61694
2024-11-02 10:00:00,7980295.5,55.18706,7.634388,2.0,22.0,12227.816,4.2,122.7412,-0.4296166,-1.1775858,-0.7971609,0.60162675,39.31448,-76.61604
2024-11-02 11:00:00,7980295.5,55.0,7.4126744,2.0,22.0,11681.077,4.0304804,123.74427,-0.7285283,-1.0418563,-0.79675585,0.60208875,39.314243,-76.6156
2024-11-02 12:00:00,7980295.5,55.042572,7.968199,2.0,22.0,11925.558,4.2180114,122.08955,-0.93955153,-0.98443776,-0.7963108,0.60240334,39.31346,-76.6174
2024-11-02 13:00:00,7980295.5,54.67791,7.536121,2.0,22.0,11906.986,4.0,121.27405,-5.893234,-0.86545086,-0.7958338,0.6027131,39.314877,-76.61472
2024-11-02 14:00:00,7980295.5,54.620293,7.1464047,2.0,22.0,11901.103,4.2,122.78807,-5.893234,-0.65821,-0.7953496,0.6030672,39.313576,-76.61353
2024-11-02 15:00:00,7980295.5,53.45281,7.52727,2.0,22.0,11762.314,4.25,120.46546,-5.893234,-0.36565503,-0.7948634,0.60322565,39.31322,-76.6154
2024-11-02 16:00:00,7980295.5,53.0,7.999347,2.0,22.0,12070.787,4.3199344,124.19819,-5.893234,-0.046436794,-0.7943782,0.60329396,39.313053,-76.61404
2024-11-02 17:00:00,7980295.5,54.05543,7.6839266,2.0,22.0,11486.404,4.0904145,119.862305,-5.893234,0.3358056,-0.7939134,0.6033583,39.313217,-76.615105
2024-11-02 18:00:00,7980295.5,53.764637,7.190823,2.0,22.0,11865.224,4.12437,119.96828,-5.893234,0.5857161,-0.7933923,0.603429,39.31484,-76.61399
2024-11-02 19:00:00,7980295.5,53.29878,7.782246,2.0,22.0,11933.838,4.3333335,119.65131,-5.893234,0.7672885,-0.79297996,0.6041412,39.31251,-76.61416
2024-11-02 20:00:00,7980295.5,53.333332,7.0,2.0,22.0,11767.434,4.3610935,118.975235,-0.993298,0.89819634,-0.7925894,0.6049288,39.31151,-76.613556
2024-11-02 21:00:00,7980295.5,52.420692,7.4014173,2.0,22.0,12155.385,4.4,122.118675,-0.8435037,0.9760745,-0.79223704,0.60573775,39.313133,-76.616295
2024-11-02 22:00:00,7980295.5,52.748684,7.444637,2.0,22.0,11852.899,4.3682613,119.65648,-0.5854075,0.9906141,-0.79187846,0.606401,39.31184,-76.61276
2024-11-02 23:00:00,7980295.5,51.637215,7.066891,2.0,22.0,12008.357,4.3039284,121.061775,-0.3030016,0.9862858,-0.79148495,0.60681,39.312523,-76.61291
2024-11-03 00:00:00,7980295.5,52.211445,7.0,2.0,22.0,11854.502,4.3333335,121.515396,-0.04892737,0.9449069,-0.7911396,0.6071849,39.31367,-76.61324
2024-11-03 01:00:00,7980295.5,52.145664,7.109117,2.0,22.0,11866.791,4.338028,119.32733,0.1117335,0.830886,-0.7908074,0.6076005,39.31267,-76.61276
2024-11-03 02:00:00,7980295.5,53.333332,7.174673,2.0,22.0,11886.604,4.3302255,122.50289,0.3780163,0.6747408,-0.7904417,0.60810053,39.312866,-76.61268
2024-11-03 03:00:00,7980295.5,52.0,6.94681,2.0,22.0,11965.296,4.375,118.5125,0.59431636,0.4355791,-0.79008657,0.60896885,39.313534,-76.61436
2024-11-03 04:00:00,7980295.5,53.666668,6.9282775,2.0,22.0,11955.239,4.182652,116.59362,0.6838722,0.09027817,-0.789763,0.6098172,39.315468,-76.61276
2024-11-03 05:00:00,7980295.5,54.0,7.1531334,2.0,22.0,11914.905,4.0037003,121.54721,0.66788805,-0.24673395,-0.7894822,0.6106366,39.315083,-76.61383
2024-11-03 06:00:00,7980295.5,54.668877,6.60352,2.0,22.0,11961.733,4.0958,125.301,0.5418441,-0.5685269,-0.78920835,0.6114339,39.31406,-76.61401
2024-11-03 07:00:00,7980295.5,55.0,7.285814,2.0,22.0,11860.108,4.125824,124.20763,0.2854859,-0.8160244,-0.7889432,0.61204726,39.315697,-76.61383
2024-11-03 08:00:00,7980295.5,54.5,7.5564485,2.0,22.0,12078.4795,4.2,125.685555,0.0036364319,-0.95449495,-0.7886936,0.61268634,39.314075,-76.61583
2024-11-03 09:00:00,7980295.5,54.072582,7.828978,2.0,22.0,11707.457,4.226783,121.40537,-0.15072045,-1.0639273,-0.78838545,0.61327875,39.31407,-76.61607
2024-11-03 10:00:00,7980295.5,55.4,7.214246,2.0,22.0,11954.984,4.0,126.669785,-0.42263225,-17.650555,-0.7879148,0.613753,39.31567,-76.61383
2024-11-03 11:00:00,7980295.5,54.73923,8.0,2.0,22.0,12052.697,4.1239457,120.799446,-0.70865417,-17.650555,-0.7874895,0.6141485,39.313652,-76.613754
2024-11-03 12:00:00,7980295.5,55.666668,7.5,2.0,22.0,11618.027,4.0,123.017426,-0.9289473,-0.99541,-0.7870441,0.6145417,39.315556,-76.61408
2024-11-03 13:00:00,7980295.5,54.666668,7.315867,2.0,22.0,12266.111,4.2,126.004944,-5.723661,-0.91248775,-0.7866154,0.6149421,39.31545,-76.614525
2024-11-03 14:00:00,7980295.5,54.333332,7.963912,2.0,22.0,11837.922,4.332943,120.931854,-5.893234,-0.72209024,-0.78620875,0.6152634,39.314484,-76.61652
2024-11-03 15:00:00,7980295.5,54.41546,7.9908786,2.0,22.0,11640.276,4.3329563,122.945656,-5.893234,-0.4354617,-0.7858711,0.61553633,39.313816,-76.61629
2024-11-03 16:00:00,7980295.5,53.965565,7.5,2.0,22.0,12047.79,4.4311113,122.871735,-5.893234,-0.14466812,-0.78554726,0.6158323,39.314167,-76.616585
2024-11-03 17:00:00,7980295.5,53.039295,7.9929166,2.0,22.0,11997.225,4.375,123.544235,-5.893234,0.2537912,-0.7852211,0.61612844,39.313595,-76.61534
2024-11-03 18:00:00,7980295.5,52.385796,8.0,2.0,22.0,12118.157,4.205046,125.57928,-5.893234,0.54771024,-0.7849238,0.6164648,39.315426,-76.61302
2024-11-03 19:00:00,7980295.5,52.5,8.0,2.0,22.0,12235.366,4.285714,121.407524,-5.893234,0.7317364,-0.7846017,0.6167889,39.314724,-76.61538
2024-11-03 20:00:00,7980295.5,51.706375,7.656572,2.0,22.0,11905.588,4.1666665,125.14355,-0.98979294,0.85806847,-0.7843236,0.61712587,39.31452,-76.61308
2024-11-03 21:00:00,7980295.5,51.91854,7.9982276,2.0,22.0,11743.006,4.428571,119.2817,-0.8335294,0.9405481,-0.7840213,0.61756086,39.313118,-76.6134
2024-11-03 22:00:00,7980295.5,52.052105,7.0,2.0,22.0,11811.092,4.142857,124.813065,-0.5762774,0.9759242,-0.78371775,0.6183479,39.313816,-76.611534
2024-11-03 23:00:00,7980295.5,51.63421,7.36055,2.0,22.0,12094.36,4.285714,124.902405,-0.2912729,0.96657115,-0.7834079,0.6192053,39.314743,-76.61327
2024-11-04 00:00:00,7980295.5,52.583023,6.8,2.0,22.0,11973.926,4.295832,121.09582,-0.033849034,0.9089653,-0.78305393,0.620057,39.312813,-76.61328
2024-11-04 01:00:00,7980295.5,53.16361,6.9986515,2.0,22.0,12027.7,4.25,118.103226,0.15822972,0.7872124,-0.7825443,0.62080383,39.31458,-76.61249
2024-11-04 02:00:00,7980295.5,53.281067,7.177193,2.0,22.0,12357.624,4.296288,123.16179,0.4142941,0.62095803,-0.7820149,0.62155616,39.31519,-76.61388
2024-11-04 03:00:00,7980295.5,52.863613,7.497861,2.0,22.0,11963.003,4.2599397,120.67253,0.62961245,0.37584096,-0.7814858,0.62229013,39.314144,-76.6129
2024-11-04 04:00:00,7980295.5,53.333332,7.4179955,2.0,22.0,11676.624,4.133665,122.1555,0.7205222,0.023194257,-0.78089166,0.623071,39.314476,-76.61289
2024-11-04 05:00:00,7980295.5,54.0,7.186098,2.0,22.0,11941.548,4.1666665,121.98229,0.70710677,-0.32109022,-0.78036153,0.6240151,39.31504,-76.61342
2024-11-04 06:00:00,7980295.5,54.333332,7.3972454,2.0,22.0,11974.689,4.281574,121.99983,0.57492346,-0.6427092,-0.77984655,0.624984,39.314346,-76.614006
2024-11-04 07:00:00,7980295.5,54.413036,7.430543,2.0,22.0,12368.361,4.0291977,123.88865,0.32004368,-0.8581228,-0.77932787,0.6259528,39.314415,-76.61233
2024-11-04 08:00:00,7980295.5,54.666668,7.5,2.0,22.0,12156.483,4.0734158,122.26812,0.02370029,-0.98944896,-0.7788098,0.62687624,39.314167,-76.61233
2024-11-04 09:00:00,7980295.5,54.092937,8.0,2.0,22.0,12016.049,4.142857,124.32914,-0.12846015,-17.650555,-0.7782676,0.62778217,39.314777,-76.61562
2024-11-04 10:00:00,7980295.5,54.91194,7.981255,2.0,22.0,12022.254,4.203442,124.07124,-0.40212265,-17.650555,-0.7777898,0.6285907,39.3158,-76.616646
2024-11-04 11:00:00,7980295.5,54.420788,8.0,2.0,22.0,12031.286,4.2,125.55959,-0.6825949,-17.650555,-0.7773458,0.6295035,39.315063,-76.614685
2024-11-04 12:00:00,7980295.5,54.3896,8.0,2.0,22.0,12170.59,4.1514997,125.7919,-0.9168198,-2.104552,-0.77690655,0.6303103,39.31617,-76.615265
2024-11-04 13:00:00,7980295.5,54.34169,7.7754154,2.0,22.0,11899.683,4.2,125.14255,-1.2127343,-0.9647106,-0.7764548,0.63108015,39.314816,-76.61399
2024-11-04 14:00:00,7980295.5,54.447346,8.0,2.0,22.0,12065.703,4.25,129.01772,-5.893234,-0.79157895,-0.7760066,0.63182926,39.31407,-76.61601
2024-11-04 15:00:00,7980295.5,54.33396,7.8456054,2.0,22.0,12311.283,4.1666665,128.6592,-5.893234,-0.5406865,-0.77582765,0.63257307,39.315727,-76.61434
2024-11-04 16:00:00,7980295.5,53.25,8.0,2.0,22.0,12328.704,4.2071676,124.54317,-5.893234,-0.20176086,-0.77566373,0.63327837,39.31352,-76.61415
2024-11-04 17:00:00,7980295.5,52.117775,8.0,2.0,22.0,12176.561,4.165166,122.08269,-5.893234,0.1473065,-0.77547103,0.63401073,39.314396,-76.61457
2024-11-04 18:00:00,7980295.5,51.916527,8.0,2.0,22.0,12073.234,4.2,126.406235,-5.893234,0.4997645,-0.7752625,0.63474005,39.314682,-76.61286
2024-11-04 19:00:00,7980295.5,51.0,8.0,2.0,22.0,11670.884,4.0,121.28445,-5.893234,0.6743353,-0.7749918,0.63539416,39.314575,-76.61239
2024-11-04 20:00:00,7980295.5,51.565647,8.0,2.0,22.0,12354.482,4.2876816,120.11935,-0.9853638,0.80537516,-0.77450913,0.6359005,39.31542,-76.6126
