,0
0,Part_1_Crime_Data
1,911_Calls_for_Service_2022_Through_Present
2,BPD_Arrests
3,Parking_and_Moving_Citations
4,Gun_Offenders_Registry
5,Percent_of_Adult_Population_on_Parole_Probation__Community_Statistical_Area
6,Property_Crime_Rate_per_1000_Residents__Community_Statistical_Area
7,Violent_Crime_Rate_per_1000_Residents__Community_Statistical_Area
8,Part_1_Crime_Rate_per_1000_Residents__Community_Statistical_Area
9,Number_of_GunRelated_Homicides_per_1000_Residents__Community_Statistical_Area
10,Number_of_Arrests_per_1000_Residents__Community_Statistical_Area
11,Domestic_Violence_Calls_For_Service_per_1000_Residents__Community_Statistical_Area
12,Juvenile_Arrest_Rate_per_1000_Juveniles__Community_Statistical_Area
13,Juvenile_Arrest_Rate_for_Violent_Offenses_per_1000_Juveniles__Community_Statistical_Area
14,Juvenile_Arrest_Rate_for_DrugRelated_Offenses_per_1000_Juveniles__Community_Statistical_Area
15,Number_of_Narcotics_Calls_for_Service_per_1000_Residents__Community_Statistical_Area
16,Property_Crime_Rate_per_1000_Residents__City
17,Violent_Crime_Rate_per_1000_Residents__City
18,Part_1_Crime_Rate_per_1000_Residents__City
19,Number_of_GunRelated_Homicides_per_1000_Residents__City
20,Number_of_Narcotics_Calls_for_Service_per_1000_Residents__City
21,Number_of_Common_Assault_Calls_for_Service_per_1000_Residents__City
